distance,iou,conf,TP,FP,FN,P,R,F1
25m,0.5,0.6500000000000001,2,33,1800,0.05714285714285714,0.0011098779134295228,0.002177463255307567
25m,0.5,0.7000000000000001,0,5,1802,0.0,0.0,0.0
25m,0.5,0.7500000000000001,0,1,1802,0.0,0.0,0.0
25m,0.5,0.8,0,0,1802,0.0,0.0,0.0
25m,0.5,0.8500000000000001,0,0,1802,0.0,0.0,0.0
25m,0.5,0.9000000000000001,0,0,1802,0.0,0.0,0.0
25m,0.7,0.05,45,1385,1757,0.03146853146853147,0.024972253052164262,0.02784653465346535
25m,0.7,0.1,45,1385,1757,0.03146853146853147,0.024972253052164262,0.02784653465346535
25m,0.7,0.15000000000000002,45,1385,1757,0.03146853146853147,0.024972253052164262,0.02784653465346535
25m,0.7,0.2,45,1385,1757,0.03146853146853147,0.024972253052164262,0.02784653465346535
25m,0.7,0.25,45,1385,1757,0.03146853146853147,0.024972253052164262,0.02784653465346535
25m,0.7,0.3,39,1182,1763,0.03194103194103194,0.021642619311875694,0.025802183261660602
25m,0.7,0.35000000000000003,34,1011,1768,0.03253588516746411,0.018867924528301886,0.02388479100807868
25m,0.7,0.4,27,852,1775,0.030716723549488054,0.014983351831298557,0.020141738157403954
25m,0.7,0.45,19,705,1783,0.026243093922651933,0.010543840177580466,0.015043547110055424
25m,0.7,0.5,14,497,1788,0.0273972602739726,0.00776914539400666,0.012105490704712495
25m,0.7,0.55,4,299,1798,0.013201320132013201,0.0022197558268590455,0.003800475059382423
25m,0.7,0.6000000000000001,0,119,1802,0.0,0.0,0.0
25m,0.7,0.6500000000000001,0,35,1802,0.0,0.0,0.0
25m,0.7,0.7000000000000001,0,5,1802,0.0,0.0,0.0
25m,0.7,0.7500000000000001,0,1,1802,0.0,0.0,0.0
25m,0.7,0.8,0,0,1802,0.0,0.0,0.0
25m,0.7,0.8500000000000001,0,0,1802,0.0,0.0,0.0
25m,0.7,0.9000000000000001,0,0,1802,0.0,0.0,0.0
